year,type,region_name,10th_share,10th_share_zero
2023,Country,Орловская область,27,0.73
2023,Country,Пензенская область,32,0.68
2023,Country,Пермский край,26,0.74
2023,Country,Приморский край,43,0.57
2023,Country,Псковская область,33,0.67
2023,Country,Республика Адыгея,38,0.62
2023,Country,Республика Алтай,41,0.59
2023,Country,Республика Башкортостан,30,0.7
2023,Country,Республика Бурятия,49,0.51
2023,Country,Республика Дагестан,35,0.65
2023,Country,Республика Ингушетия,43,0.57
2023,Country,Республика Калмыкия,48,0.52
2023,Country,Республика Карелия,36,0.64
2023,Country,Республика Коми,41,0.59
2023,Country,Республика Крым,44,0.56
2023,Country,Республика Марий Эл,30,0.7
2023,Country,Республика Мордовия,45,0.55
2023,Country,Республика Саха (Якутия),76,0.24
2023,Country,Республика Северная Осетия — Алания,38,0.62
2023,Country,Республика Татарстан,32,0.68
2023,Country,Республика Тыва,62,0.38
2023,Country,Республика Хакасия,40,0.6
2023,Country,Ростовская область,35,0.65
2023,Country,Рязанская область,28,0.72
2023,Country,Самарская область,26,0.74
2023,Country,Санкт-Петербург,,
2023,Country,Саратовская область,31,0.69
2023,Country,Сахалинская область,44,0.56
2023,Country,Свердловская область,26,0.74
2023,Country,Севастополь,38,0.62
2023,Country,Смоленская область,33,0.67
2023,Country,Ставропольский край,37,0.63
2023,Country,Тамбовская область,30,0.7
2023,Country,Тверская область,26,0.74
2023,Country,Томская область,41,0.59
2023,Country,Тульская область,31,0.69
2023,Country,Тюменская область,56,0.44
2023,Country,Удмуртская Республика,31,0.69
2023,Country,Ульяновская область,27,0.73
2023,Country,Хабаровский край,36,0.64
2023,Country,Ханты-Мансийский автономный округ — Югра,47,0.53
2023,Country,Челябинская область,31,0.69
2023,Country,Чеченская Республика,41,0.59
2023,Country,Чувашская Республика — Чувашия,38,0.62
2023,Country,Чукотский автономный округ,31,0.69
2023,Country,Ямало-Ненецкий автономный округ,48,0.52
2023,Country,Ярославская область,29,0.71
2019,City,Алтайский край,57,0.43
2019,City,Амурская область,52,0.48
2019,City,Архангельская область,54,0.46
2019,City,Астраханская область,44,0.56
2019,City,Белгородская область,47,0.53
2019,City,Брянская область,55,0.45
2019,City,Владимирская область,49,0.51
2019,City,Волгоградская область,49,0.51
2019,City,Вологодская область,45,0.55
2019,City,Воронежская область,56,0.44
2019,City,Еврейская автономная область,60,0.4
2019,City,Забайкальский край,50,0.5
2019,City,Ивановская область,48,0.52
2019,City,Иркутская область,56,0.44
2019,City,Кабардино-Балкарская Республика,60,0.4
2019,City,Калининградская область,51,0.49
2019,City,Калужская область,53,0.47
2019,City,Камчатский край,52,0.48
2019,City,Карачаево-Черкесская Республика,43,0.57
2019,City,Кемеровская область,42,0.58
2019,City,Кировская область,54,0.46
2019,City,Костромская область,54,0.46
2019,City,Краснодарский край,50,0.5
2019,City,Красноярский край,60,0.4
2019,City,Курганская область,48,0.52
2019,City,Курская область,50,0.5
2019,City,Ленинградская область,48,0.52
2019,City,Липецкая область,50,0.5
2019,City,Магаданская область,56,0.44
2019,City,Москва,74,0.26
2019,City,Московская область,52,0.48
2019,City,Мурманская область,47,0.53
2019,City,Ненецкий автономный округ,53,0.47
2019,City,Нижегородская область,49,0.51
2019,City,Новгородская область,52,0.48
2019,City,Новосибирская область,59,0.41
2019,City,Омская область,49,0.51
2019,City,Оренбургская область,43,0.57
2019,City,Орловская область,51,0.49
2019,City,Пензенская область,53,0.47
2019,City,Пермский край,48,0.52
2019,City,Приморский край,57,0.43
2019,City,Псковская область,54,0.46
2019,City,Республика Адыгея,44,0.56
2019,City,Республика Алтай,59,0.41
2019,City,Республика Башкортостан,49,0.51
2019,City,Республика Бурятия,56,0.44
2019,City,Республика Дагестан,39,0.61
2019,City,Республика Ингушетия,47,0.53
2019,City,Республика Калмыкия,64,0.36
2019,City,Республика Карелия,60,0.4
2019,City,Республика Коми,50,0.5
2019,City,Республика Крым,57,0.43
2019,City,Республика Марий Эл,48,0.52
2019,City,Республика Мордовия,52,0.48
2019,City,Республика Саха (Якутия),67,0.33
2019,City,Республика Северная Осетия — Алания,53,0.47
2019,City,Республика Татарстан,48,0.52
